1093.00,1093.00.1,1093.00.2,1093.00.3,1093.00.4,1090.00,1090.00.1,1090.00.2,1090.00.3,1090.00.4,1090.00.5,1090.00.6,1090.00.7,1090.00.8,1074.00,1074.00.1,1074.00.2,1074.00.3,1074.00.4,1074.00.5,1074.00.6,1074.00.7,1074.00.8,1074.00.9,1074.00.10,1074.00.11,1074.00.12,1074.00.13,1074.00.14,1074.00.15,1074.00.16,1074.00.17,1074.00.18,1074.00.19,1074.00.20,1074.00.21,1074.00.22,1074.00.23,1074.00.24,1074.00.25,1074.00.26,1074.00.27
1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0
1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0
1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0
1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0
1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0
1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0
1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1065.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1019.0,1065.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0,1090.0
1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0,1090.0,1090.0
1027.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1090.0
1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0
1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0,1093.0
