1100.00,1100.00.1,1100.00.2,1100.00.3,1100.00.4,1100.00.5,1118.00,1118.00.1,1118.00.2,1118.00.3,1118.00.4,1118.00.5,1118.00.6,1136.00,1136.00.1,1136.00.2,1136.00.3,1136.00.4,1136.00.5,1136.00.6,1136.00.7,1136.00.8,1136.00.9,1136.00.10,1136.00.11,1136.00.12,1098.00,1098.00.1,1098.00.2,1098.00.3,1098.00.4,1098.00.5,1027.00,1027.00.1,1027.00.2,1027.00.3,1027.00.4,1027.00.5,1027.00.6,1027.00.7,1027.00.8,1027.00.9
1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0
1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0
1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0
1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0
1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0
1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,,,,,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,1100.0,1100.0,,,,,,,,,,1100.0,1118.0,1118.0,1118.0
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,1100.0,1100.0,,,,,,,,,,,,,,1118.0
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,1109.0,1109.0,,,,,,,,,,,,,,,,
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1109.0,1109.0,,,,,,,,,,,,,,,,,
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,,,,,,,,,,,,,,,,,,
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,,,,,,,,,,,,,,,,,,,,
1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,,,,,,,,,,,,,,,,,,,,,
,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,1121.0,1121.0,1121.0,,,,,,,,,,,,,,,,,,,,,,
,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1121.0,1121.0,,,,,,,,,,,,,,,,,,,,,,,
,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1069.0,1069.0,1069.0,1069.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
