1218.00,1218.00.1,1218.00.2,1218.00.3,1218.00.4,1218.00.5,1218.00.6,1223.00,1223.00.1,1223.00.2,1223.00.3,1223.00.4,1223.00.5,1223.00.6,1152.00,1152.00.1,1152.00.2,1152.00.3,1152.00.4,1152.00.5,1152.00.6,1152.00.7,1152.00.8,1152.00.9,1138.00,1138.00.1,1139.00,1139.00.1,1139.00.2,1139.00.3,1139.00.4,1139.00.5,1139.00.6,1086.00,1086.00.1,1082.00,1082.00.1,1082.00.2,1082.00.3,1082.00.4,1082.00.5,1082.00.6,1083.00
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1086.0,1082.0,1082.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1082.0,1082.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1086.0,1082.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1082.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,,,,,,,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0
1218.0,1218.0,1218.0,1218.0,,,,,,,,,,,,,,1223.0,1223.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,,,,,,1152.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,,1152.0,1152.0,1152.0,1152.0,1152.0,,,,,,,,,,1152.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.0,1138.0,1139.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.0,1139.0,1139.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.0,1139.0
