1027.00,1027.00.1,1027.00.2,1019.00,1019.00.1,1019.00.2,1019.00.3,1019.00.4,1019.00.5,1066.00,1066.00.1,1066.00.2,1066.00.3,1066.00.4,1066.00.5,1066.00.6,1066.00.7,1066.00.8,1066.00.9,1066.00.10,1066.00.11,1066.00.12,1066.00.13,1025.00,1025.00.1,1025.00.2,1025.00.3,1025.00.4,1093.00,1093.00.1,1093.00.2,1093.00.3,1093.00.4,1093.00.5,1093.00.6,1093.00.7,1093.00.8,1093.00.9,1093.00.10,1093.00.11,1093.00.12,1093.00.13,1093.00.14
1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0,1025.0,1093.0
1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0,1025.0
1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1025.0,1025.0
1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0
1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0,1066.0
1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1066.0,1066.0,1066.0,1066.0
1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1019.0,1066.0,1066.0
,,,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0,1066.0
,,,,,,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0,1019.0,1019.0
,,,,,,,,,,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1019.0
,,,,,,,,,,,,,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
,,,,,,,,,,,,,,,,,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
,,,,,,,,,,,,,,,,,,,,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1027.0,1027.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.0,,,,,,,,,,,,,,,
