-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,1074.00,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,,
1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0
1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0,1074.0
